session,person,deadline,targVar,accuacy,median_rt
1,2,0,easy,1,1.226811
1,2,0,hard,0.1875,2.9236005
1,2,0,absent,0.9333333333333333,2.7430000000000003
1,3,2,easy,1,0.73311
1,3,2,hard,0,1.616081
1,3,2,absent,1,1.315
1,5,0,easy,0.7777777777777778,1.317152
1,5,0,hard,0,6.205252
1,5,0,absent,0.9333333333333333,6.4855
1,6,2,easy,0.7777777777777778,1.520425
1,6,2,hard,0.38461538461538464,1.205661
1,6,2,absent,0.46153846153846156,1.553
1,7,5,easy,0.6875,1.425421
1,7,5,hard,0.2857142857142857,2.5754275
1,7,5,absent,0.7333333333333333,2.681
1,8,0,easy,1,1.3823395
1,8,0,hard,0.55,7.1655
1,8,0,absent,0.9,7.345
2,2,0,easy,1,0.9584543999999999
2,2,0,hard,0,2.337004
2,2,0,absent,0.8333333333333334,3.4195
2,3,0,easy,1,0.741
2,3,0,hard,0.0625,6.165
2,3,0,absent,0.9,3.3875
2,5,0,easy,0.9285714285714286,1.04866525
2,5,0,hard,0,7.1761685
2,5,0,absent,1,7.1475
2,6,0,easy,0.8666666666666667,1.243096
2,6,0,hard,0.2,2.113107
2,6,0,absent,0.8,1.9495
2,7,0,easy,0.8888888888888888,0.755412
2,7,0,hard,0.09523809523809523,1.670683
2,7,0,absent,0.8333333333333334,1.6895
2,8,0,easy,1,1.0941865000000002
2,8,0,hard,0.21428571428571427,8.8452755
2,8,0,absent,0.8333333333333334,8.9605
